Model,Average Cost,Accuracy,F1-Score,Cost Reduction
Baseline,0.9136690647482014,82.73381294964028,0.8242509124862065,-
Cost-Sensitive,1.143884892086331,81.29496402877699,0.8108669950738918,-25.20%
